Rank,Player,Country,Career Span,Matches,Innings,Balls,Runs,Wickets,Average,Economy,Strike Rate,4,5,Best Figures
53,Aaqib Javed,PAK,10,163,159,8012,5721,182,31.43,4.28,44,2,4,Jul-37
54,Umar Gul,PAK,13,130,128,6064,5253,179,29.34,5.19,33.8,4,2,Jun-42
55,SCJ Broad,ENG,10,121,121,6109,5364,178,30.13,5.26,34.3,9,1,May-23
56,NLTC Perera,SL,12,166,157,5900,5740,175,32.8,5.83,33.7,5,4,Jun-44
57,NW Bracken,AUS,8,116,116,5759,4240,174,24.36,4.41,33,5,2,May-47
58,Imran Tahir,SA,8,107,104,5541,4297,173,24.83,4.65,32,7,3,Jul-45
59,JDP Oram,NZ,11,160,154,6911,5047,173,29.17,4.38,39.9,3,2,May-26
60,IK Pathan,INDIA,8,120,118,5855,5142,173,29.72,5.26,33.8,5,2,May-27
61,A Flintoff,ENG,10,141,119,5624,4121,169,24.38,4.39,33.2,6,2,May-19
62,SR Watson,AUS,13,190,163,6466,5342,168,31.79,4.95,38.4,3,0,Apr-36
63,CH Gayle,WI,20,301,199,7424,5926,167,35.48,4.78,44.4,3,1,May-46
64,AU Rashid,ENG,13,118,112,5879,5529,166,33.3,5.64,35.4,7,2,May-27
65,Mushtaq Ahmed,PAK,14,144,142,7543,5361,161,33.29,4.26,46.8,3,1,May-36
66,Rashid Khan,AFG,7,83,79,4241,2947,158,18.65,4.16,26.8,5,4,Jul-18
67,RJ Hadlee,NZ,17,115,112,6182,3407,158,21.56,3.3,39.1,1,5,May-25
68,Shoaib Malik,PAK,20,287,217,7958,6192,158,39.18,4.66,50.3,1,0,Apr-19
69,MD Marshall,WI,12,136,134,7175,4233,157,26.96,3.53,45.7,6,0,Apr-18
70,M Prabhakar,INDIA,12,130,127,6360,4534,157,28.87,4.27,40.5,4,2,May-33
71,A Nehra,INDIA,10,120,120,5751,4981,157,31.72,5.19,36.6,5,2,Jun-23
72,GB Hogg,AUS,12,123,113,5564,4188,156,26.84,4.51,35.6,3,2,May-32
73,CR Woakes,ENG,10,106,102,5016,4567,155,29.46,5.46,32.3,10,3,Jun-45
74,SR Tendulkar,INDIA,23,463,270,8054,6850,154,44.48,5.1,52.2,4,2,May-32
75,JO Holder,WI,9,131,127,6043,5555,153,36.3,5.51,39.4,5,2,May-27
76,BAW Mendis,SL,7,87,84,4154,3324,152,21.86,4.8,27.3,7,3,Jun-13
77,Mohammed Shami,INDIA,9,82,81,4188,3910,152,25.72,5.6,27.5,9,1,May-69
78,UDU Chandana,SL,13,147,136,6142,4818,151,31.9,4.7,40.6,4,1,May-61
79,R Ashwin,INDIA,12,113,111,6141,5058,151,33.49,4.94,40.6,1,0,Apr-25
